pmkArtist,fldName,fldLocation
ARD7TVE1187B99BFB1,Casual,California - LA
ARMJAGH1187FB546F3,The Box Tops,"Memphis, TN"
ARKRRTF1187B9984DA,Sonora Santanera,Not available
AR7G5I41187FB4CE6C,Adam Ant,"London, England"
ARXR32B1187FB57099,Gob,Not available
ARKFYS91187B98E58F,Jeff And Sheri Easter,Not available
ARD0S291187B9B7BF5,Rated R,Ohio
AR10USD1187B99F3F1,Tweeterfriendly Music,"Burlington, Ontario, Canada"
AR8ZCNI1187B9A069B,Planet P Project,Not available
ARNTLGG11E2835DDB9,Clp,Not available
ARGSJW91187B9B1D6B,JennyAnyKind,North Carolina
ARC43071187B990240,Wayne Watson,"Wisner, LA"
ARL7K851187B99ACD2,Andy Andy,Not available
ARHHO3O1187B989413,Bob Azzam,Not available
ARIK43K1187B9AE54C,Lionel Richie,"Beverly Hills, CA"
ARD842G1187B997376,Blue Rodeo,"Toronto, Ontario, Canada"
ARIG6O41187B988BDD,Richard Souther,United States
AR1ZHYZ1187FB3C717,Faiz Ali Faiz,Not available
ARYKCQI1187FB3B18F,Tesla,Not available
ARNPAGP1241B9C7FD4,lextrical,Not available
ARQGYP71187FB44566,Jimmy Wakely,"Mineola, AR"
ARI3BMM1187FB4255E,Alice Stuart,Washington
AR5KOSW1187FB35FF4,Elena,Dubai UAE
ARMAC4T1187FB3FA4C,The Dillinger Escape Plan,"Morris Plains, NJ"
AR47JEX1187B995D81,SUE THOMPSON,"Nevada, MO"
ARGIWFO1187B9B55B7,Five Bolt Main,Not available
ARDNS031187B9924F0,Tim Wilson,Georgia
AROUOZZ1187B9ABE51,Willie Bobo,"New York, NY [Spanish Harlem]"
ARH4Z031187B9A71F2,Faye Adams,"Newark, NJ"
ARB29H41187B98F0EF,Terry Callier,Chicago
AR1Y2PT1187FB5B9CE,John Wesley,Brandon
ARAJPHH1187FB5566A,The Shangri-Las,"Queens, NY"
AR0RCMP1187FB3F427,Billie Jo Spears,"Beaumont, TX"
AREBBGV1187FB523D2,Mike Jones (Featuring CJ_ Mello & Lil' Bran),"Houston, TX"
ARGUVEV1187B98BA17,Sierra Maestra,Not available
ARPQ4Z01187FB3A736,Butthole Surfers,"San Antonio, TX"
ARNQAVF11F4C844C04,Despina Vandi,Not available
ARXUT4W1187FB48BEB,Javier Navarrete,Not available
ARDD1RC1187B9B52B4,Jacob Young,Not available
ARLGWFM1187FB4AC9F,Scarlet's Remains,California - LA
ARWYVP51187B98C516,The Suicide Machines,"Detroit, MI"
ARFCUN31187B9AD578,The Rolling Stones,"London, England"
AR6YDKV1187B989230,Roberto Torres,Not available
ARV1JVD1187B9AD195,Loudon Wainwright III,"Chapel Hill, NC"
AR7TTS41187B9B42D3,R.L. Burnside,"Oxford, MS"
ART3O5Z1187B9AB043,Stevie Ray Vaughan,"Dallas, TX"
AR5U94U1187FB5CDCF,John Hammond,Not available
ARRJNTE1187FB44E12,Casiotone For The Painfully Alone,Not available
AR6IRG41187B9A4D98,Ec8or,"Berlin, Germany"
ARS1OWB1187B99EEAD,The New York Dolls,"New York, NY"
ARGMXQW1187FB54C34,Eliane Elias,"Sao Paulo, Brazil"
AROEL1B1187B988B90,Lost Boyz,"South Jamaica, Queens"
AR8W8DN1187FB35ED0,The Germs,"Los Angeles, CA"
ARUWLCL1187FB549B8,Yamandu Costa,Not available
AR3793X1187FB50CB3,Chris Rea,"Middlesbrough, England"
ARINEWW1187FB5577E,Perrey And Kingsley,Not available
ARDGB6U1187FB3AD07,Eurythmics,"London, England"
AR2J2WF1187FB46271,Francis Dunnery,"Egremont, Cumbria, England"
ARUI8651187B9ACF52,John Cale,"Garnant, Wales"
AR89DTT1187B9A7ED5,Suzanne Ciani,California - SF
ARMD0G81187B99A519,Vickie Winans,Not available
AR0VZWC1187B99BA57,The Berzerker,"Melbourne, Australia"
ARF2EHS1187B994F4E,Kings Of Leon,"Nashville, Tennessee"
ARZKRD01187FB45FD2,Edith Lefel,Not available
ARK4H5K1187B992F74,Taras,Not available
AR06EB01187FB40150,NOFX,"Berkeley, CA"
ARKPDBH1242077DEB1,Murskahumppa,Not available
ARBJSO81187B9BA09B,Soda Stereo,Not available
ARRC2JF1187B9B6A93,Bruce Rowland,AUSTRALIA
ARNIFX51187FB418EA,Xcultures,Not available
ARCCRTI11F4C845308,White Heart,Not available
ARNVH8S1187FB52F86,Heavy D / McGruff,"Jamaica, West Indies"
ARNLO5S1187B9B80CC,Van Halen,"Pasadena, CA"
